,Title,Year,Rating,Vote,Metascore,Budget,Certificate,Runtime,Genre,Overview,Artist,Director
959,Godzilla vs. Kong,(2021),6.3,"220,475",59        ,$100.92M,PG-13,113 min,"Action, Sci-Fi, Thriller","
The epic next chapter in the cinematic Monsterverse pits two of the greatest icons in motion picture history against each other--the fearsome Godzilla and the mighty Kong--with humanity caught in the balance.","['Alexander Skarsgård', 'Millie Bobby Brown', 'Rebecca Hall', 'Brian Tyree Henry']",Adam Wingard
960,Project X,(2012),6.6,"220,302",48        ,$54.73M,R,88 min,Comedy,"
Three high-school seniors throw a birthday party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.","['Thomas Mann', 'Oliver Cooper', 'Jonathan Daniel Brown', 'Dax Flame']",Nima Nourizadeh
961,Garden State,(2004),7.4,"220,017",67        ,$26.78M,R,102 min,"Comedy, Drama, Romance","
A quietly troubled young man returns home for his mother's funeral after being estranged from his family for a decade.","['Zach Braff', 'Peter Sarsgaard', 'Natalie Portman', 'Ian Holm']",Zach Braff
962,Little Women,(2019),7.8,"219,915",91        ,$108.10M,PG,135 min,"Drama, Romance","
Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.","['Saoirse Ronan', 'Emma Watson', 'Florence Pugh', 'Eliza Scanlen']",Greta Gerwig
963,Tomb Raider,(2018),6.3,"219,913",48        ,$58.25M,PG-13,119 min,"Action, Adventure, Fantasy","
Lara Croft, the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she discovers the island where her father, Lord Richard Croft disappeared.","['Alicia Vikander', 'Dominic West', 'Walton Goggins', 'Daniel Wu']",Roar Uthaug
964,The Girl with the Dragon Tattoo,(2009),7.8,"219,728",76        ,$10.10M,R,152 min,"Crime, Drama, Mystery","
A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.","['Michael Nyqvist', 'Noomi Rapace', 'Ewa Fröling', 'Lena Endre']",Niels Arden Oplev
965,The Magnificent Seven,(2016),6.9,"219,670",54        ,$93.43M,PG-13,132 min,"Action, Adventure, Drama","
Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist.","['Denzel Washington', 'Chris Pratt', 'Ethan Hawke', ""Vincent D'Onofrio""]",Antoine Fuqua
966,Ted 2,(2015),6.3,"219,610",48        ,$81.48M,R,115 min,Comedy,"
Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.","['Mark Wahlberg', 'Seth MacFarlane', 'Amanda Seyfried', 'Jessica Barth']",Seth MacFarlane
967,Bolt,(2008),6.8,"219,319",67        ,$114.05M,PG,96 min,"Animation, Adventure, Comedy","
The canine star of a fictional sci-fi/action show that believes his powers are real embarks on a cross country trek to save his co-star from a threat he believes is just as real.","['John Travolta', 'Miley Cyrus', 'Susie Essman', 'Mark Walton']",Chris Williams; Byron Howard
968,Miss Congeniality,(2000),6.3,"219,214",43        ,$106.81M,PG-13,109 min,"Action, Comedy, Crime","
An F.B.I. Agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event.","['Sandra Bullock', 'Michael Caine', 'Benjamin Bratt', 'Candice Bergen']",Donald Petrie
